BlankNum,Material,ID,Serie,VIP-Key,ToolPack1,ToolProf1,ToolPack2,ToolProf2,Material1,Width,Height,ProfileType,Length,PartNum,POL,PairNum,EndLength
1,1,513,W2434TSW,KIASH-U,24003,B-04,24001,A-04,1,35,116,1,1610,4,237,216,1600
1,1,497,W2434TSW,KIASH-U,24003,B-04,24001,A-04,1,35,116,1,1610,4,236,216,1600
1,1,424,W2434TSW,KIASH-U,24003,B-04,24001,A-04,1,35,116,1,1110,4,230,210,1100
1,1,369,W2434TSW,KIASH-U,24003,B-04,24001,A-04,1,35,116,1,1110,4,226,210,1100
1,1,561,W2434TSW,KUASH-U,24003,B-04,24001,A-04,1,35,116,1,310,4,242,0,300
2,1,627,W2434TSW,KUASH-U,24003,B-04,24001,A-04,1,35,116,1,610,4,249,0,600
2,1,594,W2434TSW,KUASH-U,24003,B-04,24001,A-04,1,35,116,1,1110,4,245,0,1100
2,1,536,W2434TSW,KIASH-U,24003,B-04,24001,A-04,1,35,116,1,1510,4,239,0,1500
2,1,472,W2434TSW,KUASH-U,24003,B-04,24001,A-04,1,35,116,1,960,4,234,0,950
3,2,626,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,610,3,249,0,600
3,2,545,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,710,3,240,0,700
4,2,560,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,310,3,242,218,300
4,2,552,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,310,3,241,218,300
4,2,569,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,960,3,243,214,950
4,2,471,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,960,3,234,214,950
4,2,580,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,610,3,244,208,600
4,2,360,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,610,3,225,208,600
4,2,607,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,710,3,246,197,700
4,2,608,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,710,4,246,197,700
4,2,355,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,360,3,224,172,350
4,2,356,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,360,4,224,172,350
5,2,454,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,1460,3,232,213,1450
5,2,439,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,1460,3,231,213,1450
5,2,423,W2434TSW,KIAS--O,24003,B-04,24001,A-04,2,44,116,1,1110,3,230,212,1100
5,2,411,W2434TSW,KIAS--O,24003,B-04,24001,A-04,2,44,116,1,1110,3,229,212,1100
5,2,463,W2434TSW,KIAS--O,24003,B-04,24001,A-04,2,44,116,1,810,3,233,0,800
6,2,613,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,710,3,247,199,700
6,2,614,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,710,4,247,199,700
7,2,512,W2434TSW,KIAS--O,24003,B-04,24001,A-04,2,44,116,1,1610,3,237,215,1600
7,2,496,W2434TSW,KIAS--O,24003,B-04,24001,A-04,2,44,116,1,1610,3,236,215,1600
7,2,619,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,910,3,248,0,900
7,2,535,W2434TSW,KIAS--O,24003,B-04,24001,A-04,2,44,116,1,1510,3,239,0,1500
7,2,337,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,310,3,221,163,300
8,2,338,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,310,4,221,163,300
8,2,397,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,1110,3,228,209,1100
8,2,368,W2434TSW,KIAS--O,24003,B-04,24001,A-04,2,44,116,1,1110,3,226,209,1100
8,2,593,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,1110,3,245,0,1100
8,2,524,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,1013,3,238,0,1003
8,2,333,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,1310,3,220,161,1300
9,2,334,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,1310,4,220,161,1300
9,2,321,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,360,3,219,155,350
9,2,322,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,360,4,219,155,350
9,2,303,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,360,3,217,146,350
9,2,304,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,360,4,217,146,350
9,2,295,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,360,3,216,142,350
9,2,296,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,360,4,216,142,350
9,2,481,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,2010,3,235,0,2000
9,2,177,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,430,3,210,86,420
10,2,178,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,430,4,210,86,420
10,2,229,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,1510,3,212,110,1500
10,2,230,W2434TSW,KUAS--U,24003,B-04,24001,A-04,2,44,116,1,1510,4,212,110,1500
10,2,45,W2434TSW,KUAS--O,24003,B-04,24001,A-04,2,44,116,1,510,3,204,0,500
